"","X","OPE.ID","School","State","Zip.Code","School.Type","Subsidized.Recipients","Subsidized.Num.of.Loans.Originated","Subsidized.Dollars.of.Loans.Originated","Subsidized.Num.of.Disbursements","Subsidized.Dollars.of.Disbursements","Unsubsidized.Undergrad.Recipients","Unsubsidized.Undergrad.Num.of.Loans.Originated","Unsubsidized.Undergrad.Dollars.of.Loans.Originated","Unsubsidized.Undergrad.Num.of.Disbursements","Unsubsidized.Undergrad.Dollars.of.Disbursements","Unsubsidized.Graduate.Recipients","Unsubsidized.Graduate.Num.of.Loans.Originated","Unsubsidized.Graduate.Dollars.of.Loans.Originated","Unsubsidized.Graduate.Num.of.Disbursements","Unsubsidized.Graduate.Dollars.of.Disbursements","Parent.Plus.Recipients","Parent.Plus.Num.of.Loans.Originated","Parent.Plus.Dollars.of.Loans.Originated","Parent.Plus.Num.of.Disbursements","Parent.Plus.Dollars.of.Disbursements","Grad.Plus.Recipients","Grad.Plus.Num.of.Loans.Originated","Grad.Plus.Dollars.of.Loans.Originated","Grad.Plus.Num.of.Disbursements","Grad.Plus.Dollars.of.Disbursements"
"11",11,101600,"UNIVERSITY OF NORTH ALABAMA","AL","356320001","Public",1918,1918,8105569,1919,4115823,1971,2047,8032453,2048,4067954,761,761,11763086,766,6125542,328,328,4062564,328,2054007,10,10,104017,10,56876
"12",12,101900,"HUNTINGDON COLLEGE","AL","361062148","Private-Nonprofit",463,463,1982166,463,984966,570,599,2166163,599,1058919,NA,NA,NA,NA,NA,189,189,2682061,189,1423067,NA,NA,NA,NA,NA
"13",13,102000,"JACKSONVILLE STATE UNIVERSITY","AL","362651602","Public",2894,2895,12057276,2895,6150665,3004,3143,12358542,3143,6330285,691,691,11148948,691,5614450,500,500,5251474,500,2703338,3,3,35848,3,19924
"14",14,102200,"JEFFERSON STATE COMMUNITY COLLEGE","AL","352153098","Public",1281,1283,4735243,1283,2371545,372,384,1230196,384,614765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,102300,"JUDSON COLLEGE","AL","367562504","Private-Nonprofit",124,124,423180,155,242081,124,129,339052,151,189776,NA,NA,NA,NA,NA,17,17,116427,22,63169,NA,NA,NA,NA,NA
"16",16,102400,"UNIVERSITY OF WEST ALABAMA","AL","354700000","Public",1085,1098,4552993,1098,2306439,1030,1107,4573984,1107,2311593,1820,1848,30951831,1848,11493187,199,206,2731449,206,1382187,87,88,2080010,88,750753
"17",17,102600,"MARION MILITARY INSTITUTE","AL","367563214","Public",57,57,192593,57,99173,77,77,264725,77,135988,NA,NA,NA,NA,NA,7,7,42876,8,27323,NA,NA,NA,NA,NA
"18",18,102800,"MILES COLLEGE","AL","350642697","Private-Nonprofit",777,777,3308769,777,1656795,780,914,2958740,914,1450052,NA,NA,NA,NA,NA,185,186,1502122,186,727847,NA,NA,NA,NA,NA
"19",19,102900,"UNIVERSITY OF MOBILE","AL","366630220","Private-Nonprofit",539,539,2239325,579,1189690,599,627,2253843,666,1211260,126,126,1612296,144,1043328,125,126,1959086,132,996804,14,14,89172,20,84712
"20",20,103100,"NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","359860159","Public",267,271,936815,271,471749,76,89,273859,89,136939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,103300,"OAKWOOD UNIVERSITY","AL","358960001","Private-Nonprofit",300,300,1377700,301,677819,319,327,1196839,328,576074,17,17,348500,17,174250,27,27,447319,27,225390,2,2,41000,2,20500
"22",22,103600,"SAMFORD UNIVERSITY","AL","352297000","Private-Nonprofit",638,638,2725011,638,1412105,892,892,3522606,892,1833389,1287,1287,27610492,1287,14818135,332,348,7066192,348,3658119,942,948,16058202,948,8613848
"23",23,103800,"SNEAD STATE COMMUNITY COLLEGE","AL","359570734","Public",191,192,684266,192,344814,178,181,812894,181,408488,NA,NA,NA,NA,NA,3,3,20000,3,10000,NA,NA,NA,NA,NA
"24",24,104000,"SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","362760000","Public",533,535,1910554,535,958057,607,650,2647825,650,1328628,NA,NA,NA,NA,NA,8,9,60500,9,30250,NA,NA,NA,NA,NA
"25",25,104100,"SPRING HILL COLLEGE","AL","366081791","Private-Nonprofit",477,479,2053360,479,1026861,562,601,2015675,601,1007979,33,34,572594,34,213848,154,156,2551116,156,1316723,NA,NA,NA,NA,NA
"26",26,104400,"STILLMAN COLLEGE","AL","354011430","Private-Nonprofit",425,429,1777780,429,888095,428,476,1725423,476,862842,NA,NA,NA,NA,NA,63,63,724781,63,360948,NA,NA,NA,NA,NA
"27",27,104600,"TALLADEGA COLLEGE","AL","351602354","Private-Nonprofit",756,756,3274123,758,1640202,612,612,2920383,615,1466517,NA,NA,NA,NA,NA,89,89,984696,89,492362,NA,NA,NA,NA,NA
"28",28,104700,"TROY UNIVERSITY","AL","360820001","Public",4334,4355,18467508,4355,7395839,4454,4543,20926343,4543,7898877,1267,1271,22964911,1271,7154510,457,462,5510655,462,2925612,88,88,1321650,88,431247
"29",29,105000,"TUSKEGEE UNIVERSITY","AL","360881645","Private-Nonprofit",1104,1107,4957913,1108,2482547,1126,1248,3756286,1248,1885268,252,254,8327561,254,4196693,584,592,13368974,592,6663132,187,195,5730575,195,2889619
"30",30,105100,"UNIVERSITY OF ALABAMA","AL","354870120","Public",7594,7622,33040862,7622,16774054,9192,9474,36307779,9474,18396030,1795,1808,29936391,1808,15127471,2774,2828,80141304,2828,41174095,248,252,3995419,252,2094711
"31",31,105200,"UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","352941150","Public",4272,4352,18590061,4352,9058344,4624,4853,20665491,4853,9961010,3464,3649,83480480,3649,37303751,595,630,8707793,630,4463167,845,958,21794784,958,9086778
"32",32,105500,"UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","358990001","Public",1976,2018,8537589,2018,4336306,2237,2289,10315354,2289,5266541,381,416,6152923,416,3240586,253,260,3778125,260,1966524,16,16,169586,16,90043
"33",33,105700,"UNIVERSITY OF SOUTH ALABAMA","AL","366880002","Public",3438,3487,15061071,3487,7557853,3637,3870,15422948,3870,7756242,2470,2525,45522961,2525,22405595,1397,1417,21790657,1417,11011612,946,949,11241031,949,4814546
"34",34,106000,"COASTAL ALABAMA COMMUNITY COLLEGE","AL","365072698","Public",804,810,2618875,810,1310969,908,926,3717718,926,1860921,NA,NA,NA,NA,NA,8,8,58889,8,29446,NA,NA,NA,NA,NA
"35",35,106100,"ALASKA PACIFIC UNIVERSITY","AK","995084672","Private-Nonprofit",98,98,417347,98,227281,94,94,455811,94,259707,46,46,619110,46,388873,2,2,38800,2,15223,3,3,68753,3,31363
"36",36,106300,"UNIVERSITY OF ALASKA FAIRBANKS","AK","997757500","Public",807,834,3328267,835,1695502,811,829,4563681,830,2294099,120,129,2019333,129,1022395,27,28,512761,28,267273,8,9,133348,9,66678
"37",37,106500,"UNIVERSITY OF ALASKA SOUTHEAST","AK","998018680","Public",152,152,625404,152,331625,168,168,977709,168,512206,44,44,589691,44,323846,5,5,58501,5,29251,11,11,106663,11,54976
"38",38,107100,"ARIZONA WESTERN COLLEGE","AZ","853658847","Public",3,3,11500,3,2875,6,6,22718,6,5680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,107200,"COCHISE COLLEGE","AZ","856352317","Public",145,146,570987,146,287497,126,127,627624,127,316363,NA,NA,NA,NA,NA,1,1,33726,1,16863,NA,NA,NA,NA,NA
"40",40,107400,"GRAND CANYON UNIVERSITY","AZ","850173030","Proprietary",15410,15422,63494382,15539,32717472,17112,17452,77793881,17622,40140984,9635,9639,139108046,9876,73987720,1726,1730,22557695,1731,12216521,203,203,2991497,206,1684155
"41",41,107600,"GLENDALE COMMUNITY COLLEGE","AZ","853023090","Public",987,1008,3685988,1009,1845628,277,285,1099181,288,551013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,107700,"MESA COMMUNITY COLLEGE","AZ","852024866","Public",1177,1203,4381432,1205,2192653,303,318,1289565,323,643630,NA,NA,NA,NA,NA,7,7,59276,7,29638,NA,NA,NA,NA,NA
"43",43,107800,"PHOENIX COLLEGE","AZ","850134234","Public",721,744,2703021,745,1351798,195,211,805544,211,402790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,107900,"YAVAPAI COLLEGE","AZ","863013297","Public",221,222,809806,223,405735,243,243,1320648,246,662362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,108100,"ARIZONA STATE UNIVERSITY","AZ","852870412","Public",26663,27113,117502581,27113,59581527,26078,26732,143877613,26732,73170602,8053,8498,138462888,8498,69698946,4615,4725,98408705,4725,49384304,4297,4462,69391679,4462,34872784
"46",46,108200,"NORTHERN ARIZONA UNIVERSITY","AZ","860110001","Public",5730,5730,23674264,5747,12281033,6350,6575,29083619,6603,15112127,1718,1720,28621216,1750,15091845,1890,1898,30525552,1911,15711599,406,410,6221305,413,3220238
"47",47,108300,"UNIVERSITY OF ARIZONA (THE)","AZ","857210066","Public",6056,6132,25778062,6132,13329275,6461,6676,29993716,6676,15471668,2858,2954,66240336,2954,33556686,2557,2743,58544482,2743,29770884,695,729,14183930,729,6617037
"48",48,108500,"UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","716560000","Public",497,497,2096723,497,1048348,534,567,2599564,567,1300678,156,156,2300918,156,1150458,24,24,146976,24,75387,NA,NA,NA,NA,NA
"49",49,108600,"UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","716012790","Public",995,999,4125704,999,2063639,981,1098,3011438,1098,1506132,52,68,533963,68,266984,116,120,1092045,120,545403,NA,NA,NA,NA,NA
"50",50,108700,"ARKANSAS BAPTIST COLLEGE","AR","722026099","Private-Nonprofit",153,155,602405,155,300952,163,167,544485,167,270759,NA,NA,NA,NA,NA,5,5,40400,5,20199,NA,NA,NA,NA,NA
"51",51,108800,"LYON COLLEGE","AR","725013699","Private-Nonprofit",217,217,933800,217,465938,264,264,972986,264,478817,NA,NA,NA,NA,NA,29,29,284295,29,100208,NA,NA,NA,NA,NA
"52",52,108900,"ARKANSAS TECH UNIVERSITY","AR","728012222","Public",2278,2342,8383854,2342,4198759,2255,2369,9300446,2369,4658731,271,281,3648953,281,1851364,209,217,2073198,217,1039850,10,10,87540,10,43770
"53",53,109000,"ARKANSAS STATE UNIVERSITY","AR","724010000","Public",2618,2667,11141964,2667,5617556,2777,2904,13553943,2904,6840032,2383,2478,34047543,2478,17094402,238,240,2613018,240,1346249,123,123,2070643,123,1063667
"54",54,109100,"ARKANSAS STATE UNIVERSITY - BEEBE","AR","720121000","Public",152,152,470233,153,237953,169,172,602407,172,306750,NA,NA,NA,NA,NA,1,1,5000,1,2500,NA,NA,NA,NA,NA
"55",55,109200,"UNIVERSITY OF CENTRAL ARKANSAS","AR","720350001","Public",2503,2577,10416843,2577,5289854,2708,2978,11428006,2978,5794028,687,752,9609599,752,4926211,451,479,4670936,479,2408781,73,77,281532,77,143150
"56",56,109300,"CENTRAL BAPTIST COLLEGE","AR","720346470","Private-Nonprofit",192,192,782096,202,401835,210,210,1027066,217,528116,NA,NA,NA,NA,NA,38,38,416091,38,208054,NA,NA,NA,NA,NA
"57",57,109400,"UNIVERSITY OF THE OZARKS","AR","728302880","Private-Nonprofit",131,131,575959,131,290402,140,141,548856,141,277013,NA,NA,NA,NA,NA,22,22,257008,22,128504,NA,NA,NA,NA,NA
"58",58,109500,"CROWLEY'S RIDGE COLLEGE","AR","724509775","Private-Nonprofit",81,81,359367,81,179687,91,93,365986,93,182996,NA,NA,NA,NA,NA,21,21,191113,21,95561,NA,NA,NA,NA,NA
"59",59,109700,"HARDING UNIVERSITY","AR","721490001","Private-Nonprofit",945,945,3821276,967,2174948,1193,1231,4704063,1258,2668005,527,527,9196990,530,6181701,308,313,5041631,318,2778535,248,251,4559814,251,2858672
"60",60,109800,"HENDERSON STATE UNIVERSITY","AR","719990001","Public",584,584,2513324,584,1286957,585,620,2381670,620,1227992,182,183,2797612,183,1487918,58,58,874387,58,452003,4,4,49435,4,25320
"61",61,109900,"HENDRIX COLLEGE","AR","720323080","Private-Nonprofit",192,192,794865,192,395934,281,289,1193859,289,596899,2,2,29500,2,14750,46,46,568325,46,284163,NA,NA,NA,NA,NA
"62",62,110000,"JOHN BROWN UNIVERSITY","AR","727612747","Private-Nonprofit",418,418,1786933,418,902610,456,456,1905757,456,948222,230,230,3114418,230,1243207,117,117,1247480,117,629239,2,2,33000,2,22750
"63",63,110100,"UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","722041099","Public",2135,2155,9200773,2155,4641295,2086,2173,11917203,2173,6014669,802,824,14056005,824,7037370,103,107,1081500,107,566648,404,406,4296098,406,2153760
"64",64,110200,"OUACHITA BAPTIST UNIVERSITY","AR","719980001","Private-Nonprofit",364,364,1533188,364,776459,525,540,2146454,540,1084234,10,10,143494,10,71747,132,133,1908681,134,995351,NA,NA,NA,NA,NA
"65",65,110300,"PHILANDER SMITH COLLEGE","AR","722023718","Private-Nonprofit",290,290,1312286,290,656141,261,266,1032601,266,515004,NA,NA,NA,NA,NA,13,13,151581,13,75791,NA,NA,NA,NA,NA
"66",66,110500,"SHORTER COLLEGE","AR","721144885","Private-Nonprofit",80,80,278620,81,77532,92,93,564569,94,156690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,110600,"WILLIAMS BAPTIST UNIVERSITY","AR","724764661","Private-Nonprofit",112,112,459881,112,226454,137,204,533906,204,266760,11,11,101265,11,34092,22,22,121180,22,97208,NA,NA,NA,NA,NA
"68",68,110700,"SOUTHERN ARKANSAS UNIVERSITY","AR","717535000","Public",431,431,1808525,441,918652,506,525,2197415,537,1123264,292,294,4806468,313,2479990,104,104,978618,113,511464,17,17,306637,19,160016
"69",69,110800,"UNIVERSITY OF ARKANSAS","AR","727010000","Public",4130,4333,17654364,4333,9023110,5789,6250,26238321,6250,13353348,917,961,14951447,961,7598367,1174,1200,21373221,1200,10969003,117,118,1547020,118,797930
"70",70,110900,"UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","722057102","Public",359,433,1612023,433,826868,332,377,1898654,377,978371,805,813,22131753,813,11418203,38,42,342688,42,180959,417,426,6754006,426,3455464
"71",71,111000,"UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","729047397","Public",1526,1526,6145898,1536,3075477,1308,1323,5957790,1338,2973766,27,27,468895,27,234449,50,50,565169,50,282593,NA,NA,NA,NA,NA
"72",72,111100,"ALLAN HANCOCK COLLEGE","CA","934546399","Public",8,8,29247,8,14624,12,12,72695,12,34598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,111300,"ANTELOPE VALLEY COLLEGE","CA","935365426","Public",109,110,415015,110,124400,101,102,501987,102,129997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,111600,"ART CENTER COLLEGE OF DESIGN","CA","911031999","Private-Nonprofit",530,530,2007562,530,1153254,487,487,1703048,487,977238,35,35,575750,35,345625,81,81,2246293,82,1184253,15,15,370328,15,187628
"75",75,111700,"AZUSA PACIFIC UNIVERSITY","CA","917027000","Private-Nonprofit",1126,1171,5287877,1178,2696224,1090,1147,4956481,1154,2509973,2111,2177,39789683,2196,18398319,341,352,6964773,352,3598056,1218,1305,24074507,1309,9576720
"76",76,111800,"BAKERSFIELD COLLEGE","CA","933051299","Public",37,37,145705,37,41578,42,42,256455,42,66548,NA,NA,NA,NA,NA,1,1,13153,2,6581,NA,NA,NA,NA,NA
"77",77,111900,"BARSTOW COMMUNITY COLLEGE","CA","923116608","Public",15,15,30250,15,15125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,112200,"BIOLA UNIVERSITY","CA","906390001","Private-Nonprofit",1373,1373,6230443,1373,3207210,1418,1418,5210403,1418,2610721,425,425,7683710,425,3783906,283,283,5920818,283,2899336,53,53,1154965,53,467670
"79",79,112400,"CABRILLO COLLEGE","CA","950033194","Public",37,37,131658,37,65831,37,37,211873,37,105937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,112500,"CALIFORNIA BAPTIST UNIVERSITY","CA","925043297","Private-Nonprofit",4374,4462,18845485,4462,9974099,4264,4401,16783198,4401,8974048,2147,2176,38425648,2176,15237942,804,830,16799670,830,8851051,507,539,10241114,539,4579356
"81",81,112700,"CALIFORNIA COLLEGE OF THE ARTS","CA","941072206","Private-Nonprofit",168,174,779354,174,424052,154,159,564962,159,308400,53,54,981050,54,506656,41,41,1106625,41,552329,26,26,679649,26,356727
"82",82,113200,"CALIFORNIA INSTITUTE OF THE ARTS","CA","913552397","Private-Nonprofit",260,267,1211827,267,617474,245,257,864327,257,444413,167,167,3352410,167,1717205,116,117,4171953,117,2132962,97,98,2479750,98,1241728
"83",83,113300,"CALIFORNIA LUTHERAN UNIVERSITY","CA","913602787","Private-Nonprofit",1038,1038,4790719,1040,2371975,1049,1080,4018852,1082,1946804,482,534,9918284,535,3818792,312,314,6209939,318,3157511,49,51,1100148,52,384661
"84",84,113400,"CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY","CA","945908181","Public",255,266,1085123,266,549333,303,323,1326106,323,669929,11,11,159501,11,61358,105,107,1784564,107,917600,NA,NA,NA,NA,NA
"85",85,113700,"CALIFORNIA STATE UNIVERSITY, FULLERTON","CA","928313599","Public",5119,5150,22398920,5151,11707707,4327,4388,19233882,4388,9872397,1244,1265,17916053,1267,9274416,96,96,1515328,96,783862,60,61,1372619,61,707425
"86",86,113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY","CA","945423000","Public",2844,2865,13111540,2865,6904783,2285,2303,11573158,2303,6098023,611,629,10143381,629,5275700,77,78,1063529,78,575078,18,18,184473,18,91779
"87",87,113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH","CA","908400006","Public",6138,6159,27206753,6160,14404595,4755,4865,21793876,4869,11499113,1490,1519,23561749,1525,12008426,119,121,1772889,121,901655,31,32,305129,32,156802
"88",88,114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CA","900324226","Public",3276,3276,15108789,3281,7717940,2304,2304,11769941,2308,6007001,1124,1124,17633966,1134,9037325,9,9,145266,9,75505,41,41,592456,41,307255
"89",89,114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CA","907470001","Public",2453,2456,11541640,2459,5983526,1743,1747,9343827,1750,4847333,584,584,9543591,646,4754945,24,24,326095,24,163053,14,14,286873,15,141269
"90",90,114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CA","924072397","Public",2773,2807,12453455,2814,6490598,2055,2140,10057764,2145,5217753,912,921,14840959,929,7465680,57,59,622763,59,331927,29,29,246521,29,135569
"91",91,114300,"CALIFORNIA POLYTECHNIC STATE UNIVERSITY","CA","934070001","Public",2792,2804,12006582,2809,4138496,3323,3416,14385097,3419,4938248,221,223,3830756,224,1317172,1719,1723,31238633,1726,10639249,13,14,219703,14,74312
"92",92,114400,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CA","917682500","Public",4560,4568,21422685,4580,10888088,3853,3871,18183672,3894,9309299,480,483,8251062,483,4155622,107,109,1694738,109,855117,16,16,147321,16,75475
"93",93,114600,"CALIFORNIA STATE UNIVERSITY, CHICO","CA","959290001","Public",4186,4245,17775237,4245,9392707,3596,3729,12046517,3729,6406440,294,325,3899512,325,1973964,227,241,3027293,241,1538185,2,2,9625,2,7633
"94",94,114700,"CALIFORNIA STATE UNIVERSITY, FRESNO","CA","937408026","Public",3013,3052,13897920,3052,7116768,2378,2417,10619198,2417,5436812,585,606,9282730,606,4710114,61,61,872537,61,436410,19,19,293747,19,150666
"95",95,114900,"HUMBOLDT STATE UNIVERSITY","CA","955218299","Public",1833,1835,8055793,1855,4253479,1560,1567,6699091,1575,3562697,197,198,3084716,207,1585852,101,103,1345876,107,737935,7,7,58634,7,30318
"96",96,115000,"CALIFORNIA STATE UNIVERSITY - SACRAMENTO","CA","958196044","Public",5259,5272,23539916,5283,12542759,3956,4040,18231158,4049,9836529,748,754,11451009,770,6061092,570,571,7282132,571,3701739,22,23,255677,23,127839
"97",97,115100,"SAN DIEGO STATE UNIVERSITY","CA","921821690","Public",3277,3357,14720772,3357,7553208,3817,3918,18100127,3918,9262397,1032,1069,16384107,1069,8293901,1231,1269,22922280,1269,11557365,143,146,1036449,146,527553
"98",98,115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CA","913308307","Public",5746,5797,26396778,5797,13726152,4562,4665,21315910,4665,11149279,1705,1725,28074263,1725,14514695,46,48,654530,48,337376,77,83,1234156,83,653946
"99",99,115400,"SAN FRANCISCO STATE UNIVERSITY","CA","941321740","Public",4108,4125,19096233,4125,9652854,3360,3411,15523125,3412,7785896,703,724,12128324,725,6100342,856,862,12925202,862,6611969,332,336,3307505,337,1674002
"100",100,115500,"SAN JOSE STATE UNIVERSITY","CA","951920036","Public",3665,3696,16317331,3696,8585530,2906,2980,12742133,2980,6708032,1587,1636,25057464,1636,12929101,704,713,9970857,713,5067257,561,570,4729705,570,2395035
"101",101,115600,"SONOMA STATE UNIVERSITY","CA","949283609","Public",1295,1296,5740995,1301,2966405,1329,1358,6122269,1361,3141222,157,157,2625969,159,1329811,395,401,5739820,402,2907777,7,7,66519,7,31037
"102",102,115700,"CALIFORNIA STATE UNIVERSITY, STANISLAUS","CA","953820299","Public",1503,1514,6566897,1514,3489371,1139,1169,5270043,1169,2781391,312,320,4782266,320,2486961,91,91,1018230,91,527650,7,7,76806,7,39153
"103",103,116100,"CERRITOS COMMUNITY COLLEGE","CA","906506296","Public",189,189,708724,204,383842,223,223,1314132,230,671013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,116200,"CHABOT COLLEGE","CA","945452400","Public",31,31,125499,31,62750,34,34,169550,34,84776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,116400,"CHAPMAN UNIVERSITY","CA","928661099","Private-Nonprofit",1868,1907,8590034,1909,4384580,1771,1828,5462448,1832,2798107,1229,1229,27317504,1256,12723312,830,835,21874232,870,11137886,950,950,34834765,988,15149125
"106",106,116500,"CHURCH DIVINITY SCHOOL OF THE PACIFIC","CA","947091217","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,49085,5,36715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,116600,"CITRUS COLLEGE","CA","917411899","Public",35,35,146500,35,73250,34,34,171174,34,85587,NA,NA,NA,NA,NA,2,2,9487,2,4744,NA,NA,NA,NA,NA
"108",108,116900,"CLAREMONT GRADUATE UNIVERSITY","CA","917116163","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,578,10950811,578,5634620,NA,NA,NA,NA,NA,312,341,8463035,341,4427209
"109",109,117000,"CLAREMONT MCKENNA COLLEGE","CA","917116400","Private-Nonprofit",84,84,310299,84,155151,22,22,81806,22,40902,NA,NA,NA,NA,NA,11,11,463530,11,242493,NA,NA,NA,NA,NA
"110",110,117200,"PITZER COLLEGE","CA","917116101","Private-Nonprofit",152,153,611771,153,326399,43,43,144000,43,72000,NA,NA,NA,NA,NA,23,23,692188,23,489797,NA,NA,NA,NA,NA
"111",111,117300,"POMONA COLLEGE","CA","917116301","Private-Nonprofit",16,16,57455,16,28728,38,38,184616,38,92307,NA,NA,NA,NA,NA,8,8,131531,8,65766,NA,NA,NA,NA,NA
"112",112,117400,"SCRIPPS COLLEGE","CA","917113948","Private-Nonprofit",102,102,422528,102,213968,24,24,116816,24,58407,NA,NA,NA,NA,NA,15,15,531605,15,260479,NA,NA,NA,NA,NA
"113",113,117600,"WEST HILLS COMMUNITY COLLEGE","CA","932101399","Public",1,1,2250,1,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
