OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,191,192,"$684,266.00 ",192,"$344,814.00 ",178,181,"$812,894.00 ",181,"$408,488.00 ",-,-, -,-, -,3,3,"$20,000.00 ",3,"$10,000.00 ",-,-, -,-, -
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,533,535,"$1,910,554.00 ",535,"$958,057.00 ",607,650,"$2,647,825.00 ",650,"$1,328,628.00 ",-,-, -,-, -,8,9,"$60,500.00 ",9,"$30,250.00 ",-,-, -,-, -
104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,477,479,"$2,053,360.00 ",479,"$1,026,861.00 ",562,601,"$2,015,675.00 ",601,"$1,007,979.00 ",33,34,"$572,594.00 ",34,"$213,848.00 ",154,156,"$2,551,116.00 ",156,"$1,316,723.00 ",-,-, -,-, -
104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,425,429,"$1,777,780.00 ",429,"$888,095.00 ",428,476,"$1,725,423.00 ",476,"$862,842.00 ",-,-, -,-, -,63,63,"$724,781.00 ",63,"$360,948.00 ",-,-, -,-, -
104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,756,756,"$3,274,123.00 ",758,"$1,640,202.00 ",612,612,"$2,920,383.00 ",615,"$1,466,517.00 ",-,-, -,-, -,89,89,"$984,696.00 ",89,"$492,362.00 ",-,-, -,-, -
104700,TROY UNIVERSITY,AL,360820001,Public,"4,334","4,355","$18,467,508.00 ","4,355","$7,395,839.00 ","4,454","4,543","$20,926,343.00 ","4,543","$7,898,877.00 ","1,267","1,271","$22,964,911.00 ","1,271","$7,154,510.00 ",457,462,"$5,510,655.00 ",462,"$2,925,612.00 ",88,88,"$1,321,650.00 ",88,"$431,247.00 "
105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,"1,104","1,107","$4,957,913.00 ","1,108","$2,482,547.00 ","1,126","1,248","$3,756,286.00 ","1,248","$1,885,268.00 ",252,254,"$8,327,561.00 ",254,"$4,196,693.00 ",584,592,"$13,368,974.00 ",592,"$6,663,132.00 ",187,195,"$5,730,575.00 ",195,"$2,889,619.00 "
105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,"7,594","7,622","$33,040,862.00 ","7,622","$16,774,054.00 ","9,192","9,474","$36,307,779.00 ","9,474","$18,396,030.00 ","1,795","1,808","$29,936,391.00 ","1,808","$15,127,471.00 ","2,774","2,828","$80,141,304.00 ","2,828","$41,174,095.00 ",248,252,"$3,995,419.00 ",252,"$2,094,711.00 "
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,"4,272","4,352","$18,590,061.00 ","4,352","$9,058,344.00 ","4,624","4,853","$20,665,491.00 ","4,853","$9,961,010.00 ","3,464","3,649","$83,480,480.00 ","3,649","$37,303,751.00 ",595,630,"$8,707,793.00 ",630,"$4,463,167.00 ",845,958,"$21,794,784.00 ",958,"$9,086,778.00 "
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,Public,"1,976","2,018","$8,537,589.00 ","2,018","$4,336,306.00 ","2,237","2,289","$10,315,354.00 ","2,289","$5,266,541.00 ",381,416,"$6,152,923.00 ",416,"$3,240,586.00 ",253,260,"$3,778,125.00 ",260,"$1,966,524.00 ",16,16,"$169,586.00 ",16,"$90,043.00 "
105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,Public,"3,438","3,487","$15,061,071.00 ","3,487","$7,557,853.00 ","3,637","3,870","$15,422,948.00 ","3,870","$7,756,242.00 ","2,470","2,525","$45,522,961.00 ","2,525","$22,405,595.00 ","1,397","1,417","$21,790,657.00 ","1,417","$11,011,612.00 ",946,949,"$11,241,031.00 ",949,"$4,814,546.00 "
106000,COASTAL ALABAMA COMMUNITY COLLEGE,AL,365072698,Public,804,810,"$2,618,875.00 ",810,"$1,310,969.00 ",908,926,"$3,717,718.00 ",926,"$1,860,921.00 ",-,-, -,-, -,8,8,"$58,889.00 ",8,"$29,446.00 ",-,-, -,-, -
106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,Private-Nonprofit,98,98,"$417,347.00 ",98,"$227,281.00 ",94,94,"$455,811.00 ",94,"$259,707.00 ",46,46,"$619,110.00 ",46,"$388,873.00 ",2,2,"$38,800.00 ",2,"$15,223.00 ",3,3,"$68,753.00 ",3,"$31,363.00 "
106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,Public,807,834,"$3,328,267.00 ",835,"$1,695,502.00 ",811,829,"$4,563,681.00 ",830,"$2,294,099.00 ",120,129,"$2,019,333.00 ",129,"$1,022,395.00 ",27,28,"$512,761.00 ",28,"$267,273.00 ",8,9,"$133,348.00 ",9,"$66,678.00 "
106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,Public,152,152,"$625,404.00 ",152,"$331,625.00 ",168,168,"$977,709.00 ",168,"$512,206.00 ",44,44,"$589,691.00 ",44,"$323,846.00 ",5,5,"$58,501.00 ",5,"$29,251.00 ",11,11,"$106,663.00 ",11,"$54,976.00 "
107100,ARIZONA WESTERN COLLEGE,AZ,853658847,Public,3,3,"$11,500.00 ",3,"$2,875.00 ",6,6,"$22,718.00 ",6,"$5,680.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
107200,COCHISE COLLEGE,AZ,856352317,Public,145,146,"$570,987.00 ",146,"$287,497.00 ",126,127,"$627,624.00 ",127,"$316,363.00 ",-,-, -,-, -,1,1,"$33,726.00 ",1,"$16,863.00 ",-,-, -,-, -
107400,GRAND CANYON UNIVERSITY,AZ,850173030,Proprietary,"15,410","15,422","$63,494,382.00 ","15,539","$32,717,472.00 ","17,112","17,452","$77,793,881.00 ","17,622","$40,140,984.00 ","9,635","9,639","$139,108,046.00 ","9,876","$73,987,720.00 ","1,726","1,730","$22,557,695.00 ","1,731","$12,216,521.00 ",203,203,"$2,991,497.00 ",206,"$1,684,155.00 "
107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,Public,987,"1,008","$3,685,988.00 ","1,009","$1,845,628.00 ",277,285,"$1,099,181.00 ",288,"$551,013.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
107700,MESA COMMUNITY COLLEGE,AZ,852024866,Public,"1,177","1,203","$4,381,432.00 ","1,205","$2,192,653.00 ",303,318,"$1,289,565.00 ",323,"$643,630.00 ",-,-, -,-, -,7,7,"$59,276.00 ",7,"$29,638.00 ",-,-, -,-, -
107800,PHOENIX COLLEGE,AZ,850134234,Public,721,744,"$2,703,021.00 ",745,"$1,351,798.00 ",195,211,"$805,544.00 ",211,"$402,790.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
107900,YAVAPAI COLLEGE,AZ,863013297,Public,221,222,"$809,806.00 ",223,"$405,735.00 ",243,243,"$1,320,648.00 ",246,"$662,362.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
108100,ARIZONA STATE UNIVERSITY,AZ,852870412,Public,"26,663","27,113","$117,502,581.00 ","27,113","$59,581,527.00 ","26,078","26,732","$143,877,613.00 ","26,732","$73,170,602.00 ","8,053","8,498","$138,462,888.00 ","8,498","$69,698,946.00 ","4,615","4,725","$98,408,705.00 ","4,725","$49,384,304.00 ","4,297","4,462","$69,391,679.00 ","4,462","$34,872,784.00 "
108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,Public,"5,730","5,730","$23,674,264.00 ","5,747","$12,281,033.00 ","6,350","6,575","$29,083,619.00 ","6,603","$15,112,127.00 ","1,718","1,720","$28,621,216.00 ","1,750","$15,091,845.00 ","1,890","1,898","$30,525,552.00 ","1,911","$15,711,599.00 ",406,410,"$6,221,305.00 ",413,"$3,220,238.00 "
108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,Public,"6,056","6,132","$25,778,062.00 ","6,132","$13,329,275.00 ","6,461","6,676","$29,993,716.00 ","6,676","$15,471,668.00 ","2,858","2,954","$66,240,336.00 ","2,954","$33,556,686.00 ","2,557","2,743","$58,544,482.00 ","2,743","$29,770,884.00 ",695,729,"$14,183,930.00 ",729,"$6,617,037.00 "
108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,Public,497,497,"$2,096,723.00 ",497,"$1,048,348.00 ",534,567,"$2,599,564.00 ",567,"$1,300,678.00 ",156,156,"$2,300,918.00 ",156,"$1,150,458.00 ",24,24,"$146,976.00 ",24,"$75,387.00 ",-,-, -,-, -
108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,716012790,Public,995,999,"$4,125,704.00 ",999,"$2,063,639.00 ",981,"1,098","$3,011,438.00 ","1,098","$1,506,132.00 ",52,68,"$533,963.00 ",68,"$266,984.00 ",116,120,"$1,092,045.00 ",120,"$545,403.00 ",-,-, -,-, -
108700,ARKANSAS BAPTIST COLLEGE,AR,722026099,Private-Nonprofit,153,155,"$602,405.00 ",155,"$300,952.00 ",163,167,"$544,485.00 ",167,"$270,759.00 ",-,-, -,-, -,5,5,"$40,400.00 ",5,"$20,199.00 ",-,-, -,-, -
108800,LYON COLLEGE,AR,725013699,Private-Nonprofit,217,217,"$933,800.00 ",217,"$465,938.00 ",264,264,"$972,986.00 ",264,"$478,817.00 ",-,-, -,-, -,29,29,"$284,295.00 ",29,"$100,208.00 ",-,-, -,-, -
108900,ARKANSAS TECH UNIVERSITY,AR,728012222,Public,"2,278","2,342","$8,383,854.00 ","2,342","$4,198,759.00 ","2,255","2,369","$9,300,446.00 ","2,369","$4,658,731.00 ",271,281,"$3,648,953.00 ",281,"$1,851,364.00 ",209,217,"$2,073,198.00 ",217,"$1,039,850.00 ",10,10,"$87,540.00 ",10,"$43,770.00 "
109000,ARKANSAS STATE UNIVERSITY,AR,724010000,Public,"2,618","2,667","$11,141,964.00 ","2,667","$5,617,556.00 ","2,777","2,904","$13,553,943.00 ","2,904","$6,840,032.00 ","2,383","2,478","$34,047,543.00 ","2,478","$17,094,402.00 ",238,240,"$2,613,018.00 ",240,"$1,346,249.00 ",123,123,"$2,070,643.00 ",123,"$1,063,667.00 "
109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,720121000,Public,152,152,"$470,233.00 ",153,"$237,953.00 ",169,172,"$602,407.00 ",172,"$306,750.00 ",-,-, -,-, -,1,1,"$5,000.00 ",1,"$2,500.00 ",-,-, -,-, -
109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,720350001,Public,"2,503","2,577","$10,416,843.00 ","2,577","$5,289,854.00 ","2,708","2,978","$11,428,006.00 ","2,978","$5,794,028.00 ",687,752,"$9,609,599.00 ",752,"$4,926,211.00 ",451,479,"$4,670,936.00 ",479,"$2,408,781.00 ",73,77,"$281,532.00 ",77,"$143,150.00 "
109300,CENTRAL BAPTIST COLLEGE,AR,720346470,Private-Nonprofit,192,192,"$782,096.00 ",202,"$401,835.00 ",210,210,"$1,027,066.00 ",217,"$528,116.00 ",-,-, -,-, -,38,38,"$416,091.00 ",38,"$208,054.00 ",-,-, -,-, -
109400,UNIVERSITY OF THE OZARKS,AR,728302880,Private-Nonprofit,131,131,"$575,959.00 ",131,"$290,402.00 ",140,141,"$548,856.00 ",141,"$277,013.00 ",-,-, -,-, -,22,22,"$257,008.00 ",22,"$128,504.00 ",-,-, -,-, -
109500,CROWLEY'S RIDGE COLLEGE,AR,724509775,Private-Nonprofit,81,81,"$359,367.00 ",81,"$179,687.00 ",91,93,"$365,986.00 ",93,"$182,996.00 ",-,-, -,-, -,21,21,"$191,113.00 ",21,"$95,561.00 ",-,-, -,-, -
109700,HARDING UNIVERSITY,AR,721490001,Private-Nonprofit,945,945,"$3,821,276.00 ",967,"$2,174,948.00 ","1,193","1,231","$4,704,063.00 ","1,258","$2,668,005.00 ",527,527,"$9,196,990.00 ",530,"$6,181,701.00 ",308,313,"$5,041,631.00 ",318,"$2,778,535.00 ",248,251,"$4,559,814.00 ",251,"$2,858,672.00 "
109800,HENDERSON STATE UNIVERSITY,AR,719990001,Public,584,584,"$2,513,324.00 ",584,"$1,286,957.00 ",585,620,"$2,381,670.00 ",620,"$1,227,992.00 ",182,183,"$2,797,612.00 ",183,"$1,487,918.00 ",58,58,"$874,387.00 ",58,"$452,003.00 ",4,4,"$49,435.00 ",4,"$25,320.00 "
109900,HENDRIX COLLEGE,AR,720323080,Private-Nonprofit,192,192,"$794,865.00 ",192,"$395,934.00 ",281,289,"$1,193,859.00 ",289,"$596,899.00 ",2,2,"$29,500.00 ",2,"$14,750.00 ",46,46,"$568,325.00 ",46,"$284,163.00 ",-,-, -,-, -
110000,JOHN BROWN UNIVERSITY,AR,727612747,Private-Nonprofit,418,418,"$1,786,933.00 ",418,"$902,610.00 ",456,456,"$1,905,757.00 ",456,"$948,222.00 ",230,230,"$3,114,418.00 ",230,"$1,243,207.00 ",117,117,"$1,247,480.00 ",117,"$629,239.00 ",2,2,"$33,000.00 ",2,"$22,750.00 "
110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,Public,"2,135","2,155","$9,200,773.00 ","2,155","$4,641,295.00 ","2,086","2,173","$11,917,203.00 ","2,173","$6,014,669.00 ",802,824,"$14,056,005.00 ",824,"$7,037,370.00 ",103,107,"$1,081,500.00 ",107,"$566,648.00 ",404,406,"$4,296,098.00 ",406,"$2,153,760.00 "
110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,Private-Nonprofit,364,364,"$1,533,188.00 ",364,"$776,459.00 ",525,540,"$2,146,454.00 ",540,"$1,084,234.00 ",10,10,"$143,494.00 ",10,"$71,747.00 ",132,133,"$1,908,681.00 ",134,"$995,351.00 ",-,-, -,-, -
110300,PHILANDER SMITH COLLEGE,AR,722023718,Private-Nonprofit,290,290,"$1,312,286.00 ",290,"$656,141.00 ",261,266,"$1,032,601.00 ",266,"$515,004.00 ",-,-, -,-, -,13,13,"$151,581.00 ",13,"$75,791.00 ",-,-, -,-, -
110500,SHORTER COLLEGE,AR,721144885,Private-Nonprofit,80,80,"$278,620.00 ",81,"$77,532.00 ",92,93,"$564,569.00 ",94,"$156,690.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
110600,WILLIAMS BAPTIST UNIVERSITY,AR,724764661,Private-Nonprofit,112,112,"$459,881.00 ",112,"$226,454.00 ",137,204,"$533,906.00 ",204,"$266,760.00 ",11,11,"$101,265.00 ",11,"$34,092.00 ",22,22,"$121,180.00 ",22,"$97,208.00 ",-,-, -,-, -
110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,Public,431,431,"$1,808,525.00 ",441,"$918,652.00 ",506,525,"$2,197,415.00 ",537,"$1,123,264.00 ",292,294,"$4,806,468.00 ",313,"$2,479,990.00 ",104,104,"$978,618.00 ",113,"$511,464.00 ",17,17,"$306,637.00 ",19,"$160,016.00 "
110800,UNIVERSITY OF ARKANSAS,AR,727010000,Public,"4,130","4,333","$17,654,364.00 ","4,333","$9,023,110.00 ","5,789","6,250","$26,238,321.00 ","6,250","$13,353,348.00 ",917,961,"$14,951,447.00 ",961,"$7,598,367.00 ","1,174","1,200","$21,373,221.00 ","1,200","$10,969,003.00 ",117,118,"$1,547,020.00 ",118,"$797,930.00 "
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,Public,359,433,"$1,612,023.00 ",433,"$826,868.00 ",332,377,"$1,898,654.00 ",377,"$978,371.00 ",805,813,"$22,131,753.00 ",813,"$11,418,203.00 ",38,42,"$342,688.00 ",42,"$180,959.00 ",417,426,"$6,754,006.00 ",426,"$3,455,464.00 "
111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,729047397,Public,"1,526","1,526","$6,145,898.00 ","1,536","$3,075,477.00 ","1,308","1,323","$5,957,790.00 ","1,338","$2,973,766.00 ",27,27,"$468,895.00 ",27,"$234,449.00 ",50,50,"$565,169.00 ",50,"$282,593.00 ",-,-, -,-, -
111100,ALLAN HANCOCK COLLEGE,CA,934546399,Public,8,8,"$29,247.00 ",8,"$14,624.00 ",12,12,"$72,695.00 ",12,"$34,598.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
111300,ANTELOPE VALLEY COLLEGE,CA,935365426,Public,109,110,"$415,015.00 ",110,"$124,400.00 ",101,102,"$501,987.00 ",102,"$129,997.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
111600,ART CENTER COLLEGE OF DESIGN,CA,911031999,Private-Nonprofit,530,530,"$2,007,562.00 ",530,"$1,153,254.00 ",487,487,"$1,703,048.00 ",487,"$977,238.00 ",35,35,"$575,750.00 ",35,"$345,625.00 ",81,81,"$2,246,293.00 ",82,"$1,184,253.00 ",15,15,"$370,328.00 ",15,"$187,628.00 "
111700,AZUSA PACIFIC UNIVERSITY,CA,917027000,Private-Nonprofit,"1,126","1,171","$5,287,877.00 ","1,178","$2,696,224.00 ","1,090","1,147","$4,956,481.00 ","1,154","$2,509,973.00 ","2,111","2,177","$39,789,683.00 ","2,196","$18,398,319.00 ",341,352,"$6,964,773.00 ",352,"$3,598,056.00 ","1,218","1,305","$24,074,507.00 ","1,309","$9,576,720.00 "
111800,BAKERSFIELD COLLEGE,CA,933051299,Public,37,37,"$145,705.00 ",37,"$41,578.00 ",42,42,"$256,455.00 ",42,"$66,548.00 ",-,-, -,-, -,1,1,"$13,153.00 ",2,"$6,581.00 ",-,-, -,-, -
111900,BARSTOW COMMUNITY COLLEGE,CA,923116608,Public,15,15,"$30,250.00 ",15,"$15,125.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
112200,BIOLA UNIVERSITY,CA,906390001,Private-Nonprofit,"1,373","1,373","$6,230,443.00 ","1,373","$3,207,210.00 ","1,418","1,418","$5,210,403.00 ","1,418","$2,610,721.00 ",425,425,"$7,683,710.00 ",425,"$3,783,906.00 ",283,283,"$5,920,818.00 ",283,"$2,899,336.00 ",53,53,"$1,154,965.00 ",53,"$467,670.00 "
112400,CABRILLO COLLEGE,CA,950033194,Public,37,37,"$131,658.00 ",37,"$65,831.00 ",37,37,"$211,873.00 ",37,"$105,937.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
112500,CALIFORNIA BAPTIST UNIVERSITY,CA,925043297,Private-Nonprofit,"4,374","4,462","$18,845,485.00 ","4,462","$9,974,099.00 ","4,264","4,401","$16,783,198.00 ","4,401","$8,974,048.00 ","2,147","2,176","$38,425,648.00 ","2,176","$15,237,942.00 ",804,830,"$16,799,670.00 ",830,"$8,851,051.00 ",507,539,"$10,241,114.00 ",539,"$4,579,356.00 "
112700,CALIFORNIA COLLEGE OF THE ARTS,CA,941072206,Private-Nonprofit,168,174,"$779,354.00 ",174,"$424,052.00 ",154,159,"$564,962.00 ",159,"$308,400.00 ",53,54,"$981,050.00 ",54,"$506,656.00 ",41,41,"$1,106,625.00 ",41,"$552,329.00 ",26,26,"$679,649.00 ",26,"$356,727.00 "
113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,913552397,Private-Nonprofit,260,267,"$1,211,827.00 ",267,"$617,474.00 ",245,257,"$864,327.00 ",257,"$444,413.00 ",167,167,"$3,352,410.00 ",167,"$1,717,205.00 ",116,117,"$4,171,953.00 ",117,"$2,132,962.00 ",97,98,"$2,479,750.00 ",98,"$1,241,728.00 "
113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,913602787,Private-Nonprofit,"1,038","1,038","$4,790,719.00 ","1,040","$2,371,975.00 ","1,049","1,080","$4,018,852.00 ","1,082","$1,946,804.00 ",482,534,"$9,918,284.00 ",535,"$3,818,792.00 ",312,314,"$6,209,939.00 ",318,"$3,157,511.00 ",49,51,"$1,100,148.00 ",52,"$384,661.00 "
